Region,Side,Treatment F value,Genotype F Value,Time.Point F Value,Treatment:Genotype F Value,Treatment:Time.Point F Value,Genotype:Time Point F Value,Treatment:Genotype:Time Point F Value,Treatment P value,Genotype P Value,Time.Point P Value,Treatment:Genotype P Value,Treatment:Time.Point P Value,Genotype:Time Point P Value,Treatment:Genotype:Time Point P Value
Preopt,Left,2.2357,0.2165,4.0598,1.752,0.2958,2.2605,0.327,0.08551,0.64227,0.04534,0.15788,0.8284,0.13439,0.80582
Sthal,Left,0.2948,1.6928,4.0446,3.4512,0.1992,0.4796,0.3867,0.82911,0.19482,0.04574,0.01769,0.89681,0.48944,0.76271
SPT,Left,0.9353,0.0472,10.0553,0.9575,0.6471,0.9594,0.3153,0.424732,0.828311,0.001774,0.414011,0.585716,0.328605,0.814297
GP,Left,2.0352,8.1226,0.0016,4.1723,1.0452,0.1623,0.8616,0.11043,0.004859,0.968242,0.006887,0.37381,0.687493,0.462084
CPu,Left,0.6425,15.3542,14.0512,0.9725,0.8008,7.1129,0.8817,0.5885776,0.0001247,0.0002366,0.4068832,0.4948318,0.0083204,0.4516002
Amy,Left,3.209,0.5236,0.2557,3.3616,1.4082,0.0168,0.4031,0.02427,0.4702,0.61367,0.01989,0.24178,0.89687,0.75096
Acb,Left,0.7554,0.0968,4.4347,1.8586,0.9683,0.3213,1.79,0.52048,0.75605,0.03654,0.13809,0.40885,0.57149,0.15053
BNst,Left,0.7235,2.5968,1.1652,2.2493,0.2295,4.3262,0.3731,0.5391,0.10876,0.28177,0.08404,0.87575,0.03889,0.77251
Vpal,Left,1.1152,8.9,0.0021,2.3543,1.0006,6.4277,1.5637,0.3442,0.003232,0.96389,0.07345,0.39379,0.01205,0.19965
PAG,Left,1.3306,4.1517,0.5581,0.5039,0.135,0.2197,0.683,0.26577,0.04299,0.45598,0.68004,0.93909,0.63984,0.56345
APT,Left,0.6936,2.1122,19.1551,1.88,0.7718,0.5053,1.3451,0.557,0.1478,2.00E-05,0.1344,0.5111,0.478,0.2611
VTA,Left,1.3556,5.9261,0.1118,0.9048,0.6031,0.3498,0.5913,0.25782,0.01585,0.73847,0.43988,0.61378,0.55495,0.6214
Thal_R,Left,0.9647,20.2525,2.6959,1.3269,4.2051,0.1089,1.0189,0.410557,1.19E-05,0.102276,0.266968,0.006598,0.7417224,0.385456
VT,Left,0.2011,9.0361,8.0221,4.4441,0.5635,1.2483,0.8759,0.895542,0.003008,0.005125,0.004825,0.63972,0.265311,0.454634
LDNT,Left,1.4397,0.0316,0.137,0.4234,0.8062,0.0289,0.188,0.2326,0.859,0.7117,0.7364,0.4919,0.8651,0.9045
MGN,Left,0.973,0.0899,1.4494,1.5132,1.5716,0.311,0.0222,0.4066,0.7646,0.2301,0.2125,0.1977,0.5777,0.9955
LGN,Left,1.3328,7.6327,5.1636,1.3464,1.2755,0.184,0.0643,0.265064,0.006302,0.024197,0.260718,0.284117,0.66846,0.978646
ZI,Left,1.5753,5.1813,2.4632,2.555,0.5567,0.2533,2.4941,0.1968,0.02396,0.11822,0.05672,0.64425,0.61537,0.06136
RTN,Left,1.8825,1.8816,19.8957,2.9487,1.2046,0.7322,0.8054,0.13398,0.17179,1.41E-05,0.03406,0.30939,0.39327,0.49228
Sub_PP,Left,1.3581,2.9595,0.0979,4.0412,1.0683,0.4906,0.7384,0.257035,0.087022,0.754759,0.008177,0.363777,0.4845229,0.530381
DpMe,Left,0.8134,1.6799,7.1692,2.6045,0.207,1.4384,0.1841,0.487904,0.196523,0.008073,0.053213,0.891442,0.231902,0.907129
SC,Left,2.8969,0.3485,5.6141,1.1129,0.5857,0.073,0.6223,0.03643,0.55567,0.01883,0.34511,0.62508,0.78729,0.60138
IC,Left,2.219,0.7406,0.2048,1.946,0.7561,0.4924,0.3285,0.08736,0.39057,0.65143,0.12366,0.5201,0.48374,0.80474
SN,Left,2.219,0.7406,0.2048,1.946,0.7561,0.4924,0.3285,0.08736,0.39057,0.65143,0.12366,0.5201,0.48374,0.80474
RPC,Left,0.7517,5.2572,7.9076,0.0995,0.6893,1.4924,0.1384,0.522601,0.022963,0.005445,0.960181,0.559643,0.223368,0.936966
MRN,Left,0.1273,0.0753,6.8451,1.9582,22.0242,1.6587,0.1278,0.94381,0.784037,0.009611,0.1221759,0.111983,0.199359,0.943508
RI,Left,1.8305,0.4691,0.8896,3.2338,0.9897,0.4741,1.075,0.1431,0.4943,0.3468,0.0235,0.3988,0.492,0.3609
Cn,Left,0.1241,3.765,4.0162,0.9877,1.0115,1.3614,0.2197,0.94577,0.05383,0.0465,0.39976,0.38884,0.24477,0.88264
PrCn,Left,1.9998,0.5267,3.4152,1.399,0.696,0.6044,0.3825,0.1155,0.46888,0.06617,0.24451,0.55557,0.43787,0.76574
BS_R,Left,1.0197,0.2079,6.7089,0.2589,0.6552,0.559,1.1201,0.3851,0.64897,0.01035,0.85493,0.5806,0.4556,0.34217
Iped,Left,2.6316,0.045,5.5567,1.3331,0.3213,1.0585,1.1981,0.05138,0.83217,0.01944,0.26495,0.81007,0.30487,0.31181
Cb_1_10,Left,3.3724,2.6443,17.114,0.3447,0.6993,0.2092,0.1283,0.01961,0.1056,5.30E-05,0.79299,0.55358,0.64796,0.94324
